"","Location","Date","Nesting","FalseCrawls","Total","state"
"208","Holden Beach","5/22/2012",3,2,5,"NC"
"209","Oak Island","5/22/2012",1,2,3,"NC"
"210","Onslow Beach","5/22/2012",1,0,1,"NC"
"211","Topsail Island","5/22/2012",2,0,2,"NC"
"212","Cape Lookout NS","5/22/2013",1,0,1,"NC"
"213","Emerald Isle","5/22/2013",1,0,1,"NC"
"214","Topsail Island","5/22/2013",0,1,1,"NC"
"215","Indian Beach/Salter Path","5/22/2014",1,0,1,"NC"
"216","Cape Hatteras NS","5/22/2015",0,1,1,"NC"
"217","Cape Lookout NS","5/22/2015",1,0,1,"NC"
"218","Holden Beach","5/22/2015",0,1,1,"NC"
"219","Masonboro Island","5/22/2015",0,2,2,"NC"
"220","Oak Island","5/22/2015",2,0,2,"NC"
"221","Bald Head Island","5/22/2016",1,0,1,"NC"
"222","Cape Hatteras NS","5/22/2016",0,1,1,"NC"
"223","Cape Lookout NS","5/22/2016",0,2,2,"NC"
"224","Caswell Beach","5/22/2016",0,1,1,"NC"
"225","Holden Beach","5/22/2016",0,1,1,"NC"
"226","Oak Island","5/22/2016",0,2,2,"NC"
"227","Topsail Island","5/22/2016",0,1,1,"NC"
"228","Wrightsville Beach","5/22/2016",0,1,1,"NC"
"234","Cape Hatteras NS","5/23/2009",1,0,1,"NC"
"235","Onslow Beach","5/23/2010",1,0,1,"NC"
"236","Cape Lookout NS","5/23/2011",3,1,4,"NC"
"237","Figure 8 Island","5/23/2011",1,1,2,"NC"
"238","Oak Island","5/23/2011",1,0,1,"NC"
"239","Ocean Isle","5/23/2011",1,0,1,"NC"
"240","Cape Hatteras NS","5/23/2012",1,0,1,"NC"
"241","Cape Lookout NS","5/23/2012",2,1,3,"NC"
"242","Caswell Beach","5/23/2012",1,0,1,"NC"
"243","Figure 8 Island","5/23/2012",0,1,1,"NC"
"244","Fort Fisher SRA","5/23/2012",1,0,1,"NC"
"245","Holden Beach","5/23/2012",2,0,2,"NC"
"246","Oak Island","5/23/2012",2,2,4,"NC"
"247","Topsail Island","5/23/2012",1,0,1,"NC"
"248","Cape Lookout NS","5/23/2013",2,0,2,"NC"
"249","Topsail Island","5/23/2013",1,0,1,"NC"
"250","Topsail Island","5/23/2014",0,1,1,"NC"
"251","Cape Hatteras NS","5/23/2015",1,2,3,"NC"
"252","Cape Lookout NS","5/23/2015",0,1,1,"NC"
"253","Caswell Beach","5/23/2015",0,1,1,"NC"
"254","Figure 8 Island","5/23/2015",1,0,1,"NC"
"255","Holden Beach","5/23/2015",0,1,1,"NC"
"256","Onslow Beach","5/23/2015",1,0,1,"NC"
"257","Cape Lookout NS","5/23/2016",0,5,5,"NC"
"258","Caswell Beach","5/23/2016",2,3,5,"NC"
"259","Figure 8 Island","5/23/2016",1,0,1,"NC"
"260","Fort Fisher SRA","5/23/2016",1,1,2,"NC"
"261","Lea-Hutaff Island","5/23/2016",0,2,2,"NC"
"262","Masonboro Island","5/23/2016",1,0,1,"NC"
"266","Holden Beach","5/24/2010",0,1,1,"NC"
"267","Bald Head Island","5/24/2011",1,0,1,"NC"
"268","Cape Hatteras NS","5/24/2011",0,2,2,"NC"
"269","Cape Lookout NS","5/24/2011",1,4,5,"NC"
"270","Figure 8 Island","5/24/2011",1,0,1,"NC"
"271","Fort Fisher SRA","5/24/2011",1,1,2,"NC"
"272","Hammocks Beach SP","5/24/2011",1,1,2,"NC"
"273","Bald Head Island","5/24/2012",1,0,1,"NC"
"274","Cape Hatteras NS","5/24/2012",0,1,1,"NC"
"275","Cape Lookout NS","5/24/2012",3,1,4,"NC"
"276","Caswell Beach","5/24/2012",0,1,1,"NC"
"277","Fort Fisher SRA","5/24/2012",1,0,1,"NC"
"278","Lea-Hutaff Island","5/24/2012",1,0,1,"NC"
"279","Oak Island","5/24/2012",3,0,3,"NC"
"280","Ocean Isle","5/24/2012",1,1,2,"NC"
"281","Onslow Beach","5/24/2012",1,0,1,"NC"
"282","Cape Lookout NS","5/24/2014",1,0,1,"NC"
